,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
1656,Saint-Hilaire-sur-Helpe,87297531,24,21,107,44,729,465,205,50,355
1657,Saint-Jean-d'Angély,87491357,49530,39126,33939,27563,39979,35005,41399,48960,51363
1658,Saint-Jodard,87726851,11942,11242,9601,8953,12481,11269,12696,13991,14579
1659,Saint-Julien-du-Sault,87683227,38671,36797,27876,21843,29000,26061,28506,24853,25646
1660,Saint-Junien,87592709,28345,39054,26521,16844,22353,17115,21544,21175,22508
1661,Saint-Laurent-d'Aigouze,87775841,1396,2259,1940,863,425,236,651,596,607
1662,Saint-Leu-d'Esserent,87276402,123708,138908,103178,64102,117808,118327,127725,126491,129788
1663,Saint-Louis,87182139,1558677,1306485,978040,872620,1371971,1213711,1196624,1122561,1116797
1664,Saint-Maixent-L'École,87485490,214436,191652,150882,120436,177546,172022,201845,197027,201952
1665,Saint-Marcel en Dombes,87723742,81632,70447,50927,46259,74865,67676,75858,70139,68233
1666,Saint-Martin du Touch,87353599,15819,10826,8160,8299,11811,7464,8436,7654,8637
1667,Saint-Martin-du-Vivier,87411413,280,137,0,0,3691,4133,5583,5505,5394
1668,Saint-Martin-le-Beau,87574459,53012,67493,47249,35384,45160,44485,46067,45519,50221
1669,Saint-Michel-sur-Orge,87545202,3047372,2863633,2116656,1640067,3466862,3439611,3427512,3345767,3252456
1670,Saint-Médard-sur-Ille,87478024,52387,47117,35674,32013,38691,33338,43477,43871,46537
1671,Saint-Nazaire,87481705,1254867,1128848,862167,627823,958231,851047,926785,882557,903619
1672,Saint-Pierre-d'Aurillac,87582833,12813,12000,7824,4493,6221,5491,7121,5602,7513
1673,Saint-Pierre-du-Vauvray,87415646,0,0,0,0,2061,2637,2160,1598,1845
1674,Saint-Pierre-la-Cour,87478768,49919,38897,29585,23633,55467,63282,61035,53593,48323
1675,Saint-Savinien,87491035,20203,19148,14360,10866,22904,14867,16260,14954,14410
1676,Saint-Étienne Bellevue,87726190,136114,127259,96721,65757,129338,112336,125617,121962,139963
1677,Saint-Étienne Carnot,87726901,126275,120629,93526,73450,138860,111406,130599,126283,143493
1678,Saint-Étienne Châteaucreux,87726000,3966356,3685091,2678707,1776534,3728728,3387131,3611638,3362571,3194896
1679,Sainte-Foy-la-Grande,87584193,229625,212685,166353,132836,134092,171919,185582,173923,178669
1680,Sainte-Lizaigne,87597054,3399,2303,982,884,1635,1554,1785,2411,2626
1681,Sainte-Maure - Noyant,87575050,144500,159393,97477,64969,100761,97445,91678,90896,97641
1682,Sainte-Pazanne,87481226,223977,196087,143989,120231,187946,176137,170164,167473,229007
1683,Sannois,87276188,3788517,3857638,3581520,1997420,3682623,3660733,3523862,3247072,3270836
1684,Santenay les Bains,87713594,4302,6103,4626,5101,6398,5026,5985,6457,8292
1685,Santeuil - Le Perchay,87381186,31561,35168,38184,10628,20305,25450,32353,39950,39355
1686,Sarcelles - Saint-Brice,87276386,5568376,5440971,4889833,1368690,5638420,5684113,5658290,5628043,5570586
1687,Sarrebourg,87215012,850055,744777,620016,495281,715228,687339,728487,716037,721389
1688,Sarreguemines,87193615,428391,457024,377766,321471,383857,386649,418901,412311,425128
1689,Saujon,87491811,60164,58017,41592,29426,52649,43071,55241,59261,63819
1690,Saverne,87212225,1440295,1312771,1114575,944195,1266086,1203924,1204812,1186072,1210024
1691,Savigny-sur-Orge,87545236,7223917,6788452,5037439,3789578,8218456,8091982,7998447,7756128,7477288
1692,Saône,87718502,22583,24300,14367,22035,30007,25591,29757,27234,30774
1693,Schirmeck - La Broque,87214692,348289,355544,304365,269442,298030,293816,316987,315384,321455
1694,Schweighouse-sur-Moder,87213108,37979,30509,22244,15991,24974,21221,16061,17854,18739
1695,Schwindratzheim,87212159,86652,79794,67825,56972,77435,80721,83536,74839,67383
1696,Selles-sur-Cher,87576868,35813,31557,27077,19177,27663,23660,26682,26725,27074
1697,Sierentz,87182105,261901,222398,171388,175095,291594,262395,256528,256706,251559
1698,Sillery,87171637,0,0,0,0,859,812,406,854,1471
1699,Sin-le-Noble,87345405,18815,27058,27606,27972,67533,60850,65263,59406,59507
1700,Sorgues - Châteauneuf-du-Pape,87765206,196720,190892,151007,100017,177236,163541,214309,149613,111465
1701,Steenwerck,87286161,47312,50022,42800,35755,48554,40214,43893,47339,49252
1702,Strasbourg Roethig,87212191,83569,71967,66201,48454,75283,55108,57421,63798,61980
1703,Sucé-sur-Erdre,87590828,190164,165475,121972,103295,195057,210510,215005,211592,188923
1704,Sèvres Rive Gauche,87393124,1104468,1725455,1413967,1140032,2089735,2206397,2355947,2460880,2555121
1705,Sélestat,87214056,2702636,2400515,1885193,1572364,2394038,2257513,2225163,2086181,2062470
1706,Tergnier,87296442,531177,507490,437936,367899,445816,453397,490504,444261,423860
1707,Terrasson-Lavilledieu,87594408,39148,36251,23939,13380,28633,24483,26199,25951,26472
1708,Thiaville-sur-Meurthe,87141432,1113,665,734,246,923,2262,3181,1957,1724
1709,Thun le Paradis,87381822,476983,471681,432673,198768,391728,377907,366370,348143,345491
1710,Thuès les Bains,87784744,513,478,406,416,271,425,363,297,354
1711,Thézy-Glimont,87316125,15910,14634,12819,10762,14525,12411,13471,15907,18617
1712,Tiercé,87484147,116837,95701,67778,54071,122747,144381,145093,145238,146906
1713,Tillières-sur-Avre,87393587,0,0,0,0,0,0,0,43,129
1714,Tourcoing,87286542,710223,609158,534310,425537,610714,731606,1048189,840616,169429
1715,Tournemire - Roquefort,87783456,1647,1100,714,343,937,482,499,542,548
1716,Tours,87571000,6506313,6248554,4377052,3152214,4962177,4690784,4876333,4641092,4755405
1717,Tricot,87313353,61346,54523,48962,41557,46366,49591,55217,56236,56762
1718,Triel-sur-Seine,87381806,724079,771326,687786,236971,463897,505248,553796,594291,585508
1719,Tronsanges,87696203,2946,3865,3255,4133,4260,4389,5034,5006,4861
1720,Tullins Fures,87761759,390250,398404,317878,243773,398166,319591,349358,304961,301557
1721,Ur - Les Escaldes,87784884,289,122,106,126,48,44,82,37,51
1722,Urt,87672386,7289,6270,5254,3384,5912,2703,2326,1563,2153
1723,Val d'Argenteuil,87381798,6361192,6287678,5607085,3403105,6554397,6368082,6168065,5880591,5693475
1724,Val-de-Vesle,87171611,25972,21301,15746,12758,12017,13331,15922,13592,13162
1725,Valence TGV Rhône-Alpes Sud,87763029,3550552,3022392,2187316,1550358,2597471,2620451,2864995,2652348,2614822
1726,Valence d'Agen,87611863,100125,87101,63793,49269,60291,53380,60396,64647,70260
1727,Valmondois,87276535,885238,917051,891151,499320,1035712,976799,942389,924968,907771
1728,Varades - Saint-Florent le Vieil,87484386,120948,105287,69361,50557,90502,91923,97263,93008,89040
1729,Varangéville - Saint-Nicolas,87141101,395548,348189,282964,231914,302982,292272,292623,255131,253934
1730,Varetz,87594606,2595,1862,1714,1394,2217,1814,2338,2141,1797
1731,Varilhes,87611327,57877,54551,37204,22937,44325,33531,43364,45531,50304
1732,Vauxaillon,87297283,7639,7747,7189,6962,8201,7794,7307,7258,6385
1733,Vendeuvre-sur-Barse,87118257,61877,52886,35792,31182,44126,38423,38538,36815,43824
1734,Verneuil-sur-Vienne,87592675,0,0,0,1,0,0,1,10,84
1735,Versigny,87296608,2038,2219,2823,1745,2249,2810,4263,6093,6698
1736,Vertaizon,87734426,164123,159478,123700,115090,148924,129123,138218,124762,132294
