,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
2381,Allée de la Tour Rendez-Vous,87113878,912913,857918,687434,940572,630008,651602,673383,683635,690917
2382,Ancy-sur-Moselle,87192419,58712,56877,49721,37560,50264,50010,49942,50233,53552
2383,Annappes,87286856,1217,1458,1388,882,1638,1285,811,641,883
2384,Anor,87295055,21929,18987,18522,14384,20768,20097,20943,20983,22276
2385,Anthéor Cap Roux,87757567,15067,11494,8814,5313,6677,3680,3503,3867,4098
2386,Anzeling,87191387,669,1081,1789,1560,1591,1191,744,657,791
2387,Arbanats,87582726,47658,51865,50805,46502,58138,42489,40409,38450,40206
2388,Arleux,87345421,28195,29115,23159,22092,39865,39776,45719,47584,51057
2389,Ars-sur-Moselle,87192401,109060,102750,91172,74062,108528,102738,113392,121770,137841
2390,Artix,87672212,82495,65223,45644,30597,42665,33858,40928,38017,41904
2391,Aspres-sur-Buëch,87763250,5047,3469,2895,3410,8513,9306,11474,9597,10131
2392,Assier,87613075,13894,12813,10281,7173,8883,7528,9895,10561,10321
2393,Aubazines - Saint-Hilaire,87594465,10482,9738,6209,5011,8137,6662,8054,7895,8467
2394,Aubin-Saint-Vaast,87316604,1416,1691,830,5,126,83,3,32,46
2395,Auboué,87191684,2047,2001,1694,1568,2608,1839,2186,3420,4747
2396,Aulnat Aéroport,87562421,13736,10248,7691,6224,10154,8009,10477,12081,14703
2397,Aumale,87313767,5169,3752,2173,865,951,1693,2295,1727,1926
2398,Auray,87476200,1258333,1110096,867879,623457,887927,786183,829917,798576,790588
2399,Avenue Foch,87381038,1081008,1015827,645324,634456,1229815,1217132,1211248,1181387,1146187
2400,Avenue du Président Kennedy Maison de Radio France,87543207,1558627,1464648,984899,836594,1773182,1804822,1836151,1838993,1832910
2401,Avord,87576439,69482,53799,39421,28256,35132,27513,28903,26383,26562
2402,Avrechy,87313296,4345,5413,3941,3772,5073,6801,6887,6980,7219
2403,Azay-le-Rideau,87571638,109627,112458,76788,66667,84578,72388,71656,70146,70977
2404,Bagnols - Chadenet,87783647,1054,979,600,538,692,610,601,556,540
2405,Ballersdorf,87181073,0,0,0,0,0,0,0,0,0
2406,Bannalec,87474189,44859,41701,29217,25645,28103,22562,22688,23072,23529
2407,Baroncourt,87192658,43344,20257,8374,5756,9000,7517,9225,8703,12179
2408,Baule,87574152,25967,23367,11469,8932,16635,14919,12138,11273,11778
2409,Baume-les-Dames,87718460,225404,224769,177034,155122,184027,160265,170977,169972,175712
2410,Baziège,87611723,104508,94556,72192,52111,55961,50573,68316,67474,74680
2411,Bazoches,87171348,2959,2725,2487,4467,5856,8488,8864,10238,10352
2412,Beaugency,87574160,508170,451356,326063,243606,365966,336506,342444,335196,351917
2413,Beaumont-le-Roger,87387183,15218,12724,7841,6269,12520,13543,14013,12102,12389
2414,Beaurainville,87317198,24306,22374,13682,1744,2379,2962,13336,23410,26699
2415,Beauvais,87313510,1842796,1636319,1241717,988279,1327596,1298880,1402417,1379556,1346772
2416,Beauvoisin,87775809,19600,15736,12738,4826,916,299,585,800,552
2417,Bedous,87672774,22697,16568,16543,12252,16872,12640,18010,15975,525
2418,Berlaimont,87295808,6501,7363,7392,8730,19722,17711,18551,15493,19691
2419,Berthelming,87215335,21961,17339,18806,15676,21267,21396,20083,20717,19951
2420,Besançon Mouillère,87718015,64478,63088,38644,52359,80798,76137,92077,83461,96710
2421,Biarritz,87673400,829355,731466,630302,431935,571419,496224,501005,419448,422384
2422,Bidos,87691949,6647,5185,3220,2525,7401,4020,5771,3829,0
2423,Biffontaine,87144188,53,174,45,806,1175,1579,2871,3142,3041
2424,Bigny,87576306,219,123,112,79,358,1061,1996,1920,2098
2425,Biot,87757690,358400,303028,205494,150711,273426,227496,239282,195896,251314
2426,Blangy-sur-Ternoise,87317248,1941,1373,882,77,8,5,535,1407,1916
2427,Bléré - La Croix,87574475,203033,207320,141435,101869,145603,139736,139181,127815,128280
2428,Bois-d'Oingt - Légny,87721787,34050,32577,27078,23861,35206,28578,25221,46924,49282
2429,Bollène La Croisière,87764357,190823,176950,138486,87212,134248,115731,136888,129801,142446
2430,Boran-sur-Oise,87276444,49424,41848,34587,24170,41161,44209,46272,43084,42347
2431,Bornel - Belle-Église,87276717,319556,288300,236641,209769,297438,278858,305842,298770,287515
2432,Bort-les-Orgues,87645705,12252,13086,11576,10807,10906,11395,11954,10584,13778
2433,Bouffémont - Moisselles,87276485,1027928,1043644,981994,427733,1064575,1078777,1036366,1000990,962706
2434,Boulogne Tintelleries,87317016,232431,267068,242201,208525,314693,286180,306739,292292,306653
2435,Boulogne-sur-Mer,87317586,971882,952689,741122,568031,830447,784536,857777,858187,921416
2436,Bourg-Bruche,87214775,8721,9285,7693,8323,7947,7918,8579,8146,8569
2437,Bouthéon,87726216,43090,38939,34858,26961,43426,33990,37248,32178,36970
2438,Bouy,87174433,0,0,0,38,778,889,1262,964,908
2439,Bouzonville,87193177,22660,18396,15501,12232,19477,23612,28274,27628,30252
2440,Bram,87615054,129983,104957,85448,57267,77466,55774,67119,62165,60963
2441,Brazey-en-Plaine,87713644,45705,45283,28186,28595,36997,36959,43808,43048,43147
2442,Breteuil,87313247,47637,43095,35539,30912,41007,36295,36651,36570,39090
2443,Breuillet Village,87545491,601167,564922,608705,344155,683921,672723,665433,644494,621695
2444,Brignac,87592063,334,249,120,64,98,65,251,163,72
2445,Brimeux,87317180,3722,2929,1330,380,152,3,451,514,1431
2446,Brion - Laizy,87694596,6356,8257,6440,6147,4426,4329,4415,4523,5350
2447,Brunstatt,87181032,0,0,0,0,0,0,0,0,0
2448,Brétigny-sur-Orge,87545194,5849583,5496901,5104301,3240166,6654818,6622680,6638324,6515476,6360502
2449,Bréval,87381624,328513,308723,247376,127358,324134,339493,361155,375428,387979
2450,Bueil,87387092,126931,109663,83609,66030,107823,103373,133082,130854,127653
2451,Busseau sur Creuse,87597708,1632,1484,1187,628,551,764,1223,1022,1417
2452,Bédarrides,87765198,21013,17713,13476,9782,20446,20795,26959,20850,22469
2453,Béning-lès-Saint-Avold,87193250,158615,145080,109573,77404,130046,108518,126267,119276,127840
2454,Caen,87444000,4134926,3753065,2523089,1959000,3173011,2835925,3191694,3070891,3256254
2455,Cagnes-sur-Mer,87756320,1448613,1152166,916468,747076,1343669,1180596,1264538,1022116,982487
2456,Cantin,87345413,14741,20021,19417,18436,46429,42550,45486,40890,44067
2457,Cap-d'Ail,87756395,158037,131052,95563,74013,99635,77459,89868,73501,67959
2458,Carcassonne,87615286,1211281,1047813,820367,565381,775306,693148,844291,786810,768690
2459,Carentan,87447243,225679,205544,139469,115933,198781,182871,204135,189685,200110
2460,Carignan,87172353,19644,16414,14028,10707,20213,20816,24363,28893,31371
2461,Carpentras,87765735,294452,276232,231161,163728,313857,313065,356186,257686,149254
2462,Cassis,87751776,346076,332671,269368,204879,294183,256460,271895,238249,226893
2463,Castillon-la-Bataille,87584136,203032,183626,145213,106766,101245,132624,148967,138851,149930
2464,Cergy le Haut,87382655,7148098,7096311,4792833,3298015,6739264,6755489,6809697,6743592,6647546
2465,Cernay (Haut-Rhin),87182410,561765,421687,364274,351266,400877,372890,391782,396767,419394
2466,Cesson,87682161,1834381,1723793,1220134,826308,2087642,2141123,2215556,2243095,2259694
2467,Chabris,87576223,26213,30059,20893,21125,24538,21423,19859,16300,14791
2468,Chamalières-sur-Loire,87734731,2822,3125,2273,969,1866,1606,1245,1671,1652
2469,Chamborigaud,87775221,8389,6915,5833,4899,6555,4313,5158,5442,5384
2470,Chambourg-sur-Indre,87571463,3374,2486,1974,2154,8861,10751,14050,14040,14479
2471,Champtocé-sur-Loire,87484352,68877,59918,36433,23453,37933,38102,32871,27185,28233
2472,Changis - Saint-Jean,87116509,337099,250409,209345,116332,302651,308219,317021,318892,318992
2473,Chanteloup-les-Vignes,87381475,931600,948491,826353,331726,719119,757040,796777,823290,838046
2474,Chantenay,87481051,54655,48932,34645,27555,45506,35066,30325,28301,26504
2475,Chantilly - Gouvieux,87276113,2762384,2600290,2104919,1694056,2679758,2427387,2603456,2500930,2421516
2476,Chantonnay,87486332,16351,16772,12552,8294,17727,17660,15532,16152,19927
2477,Chaville - Vélizy,87393173,1322775,1243912,817000,538929,1505780,1623827,1754176,1860522,1963899
2478,Chemin d'Antony,87546317,351765,330557,218101,187523,400187,394028,391171,380440,367722
2479,Chessy,87721761,27545,22478,13961,10315,19161,19730,20849,27764,26779
2480,Chevilly,87543041,60397,74171,57261,42337,45655,39508,33060,35606,39457
2481,Chevrières,87276311,38607,28028,23974,20332,28748,25476,27867,24603,29656
2482,Chindrieux,87741116,33913,46107,19144,16002,23568,20149,20739,15265,15915
2483,Châlons-en-Champagne,87174003,1007764,811432,600736,468771,801402,717835,825899,796200,840726
2484,Château-Gaillard,87543066,5363,7509,5504,3302,3720,3358,4982,4606,3856
2485,Château-Renault,87574665,100907,101627,69991,52114,68702,58237,57896,61802,66646
2486,Château-Thierry,87116582,1874036,1482999,1191637,955709,1590892,1604230,1739984,1786537,1924022
2487,Châtelaillon-Plage,87485110,130373,123934,88489,56464,85288,68306,87581,78511,81090
2488,Châtillon d'Azergues,87721753,19166,20177,15992,13629,19714,16175,17707,22861,23326
2489,Chèvremont,87184259,0,0,0,0,0,0,467,792,1111
2490,Ciry-le-Noble,87694646,5991,7875,4523,3661,3715,1992,2696,2001,1470
2491,Clamecy,87696807,40284,37889,21382,17143,27041,21852,24943,23797,25616
2492,Clermont-Ferrand,87734004,4514900,4095262,3218988,2640063,3887633,3487397,3750558,3498462,3717742
2493,Clerval,87184622,63660,60473,44025,39726,52180,44943,56309,46612,47372
2494,Clion sur Seugne,87491134,0,0,0,0,17,19,11,10,42
2495,Colmar Mésanges,87402297,4665,3007,3326,2422,4190,4571,3442,2119,2769
2496,Compiègne,87276691,2537416,2341622,1887027,1495127,2277888,2164053,2313592,2277907,2316129
2497,Conflans Fin d'Oise,87381459,6697282,6673880,4522551,2651640,5226077,5328451,5463185,5490546,5483634
2498,Connerré - Beillé,87396309,102928,98889,69372,56893,141667,158737,167834,164999,179177
2499,Corbehem,87345116,26133,27638,22452,18911,29767,29762,31272,30967,34093
2500,Corbeil-Essonnes,87681007,8651118,8129611,9146952,5418465,9842549,9324546,8829062,8205885,7600151
2501,Corcy,87272286,30,3,2,3,0,0,7,102,529
2502,Cordemais,87481820,54058,41457,27477,21478,36473,31510,29016,28563,29540
2503,Corrèze,87594119,7311,4566,4184,3271,4298,4209,4737,4771,3665
2504,Coucy-lès-Eppes,87171769,10669,10099,9545,7023,5811,7267,7048,7064,7102
2505,Couffoulens - Leuc,87615120,966,826,2054,1613,368,33,255,571,709
2506,Courbevoie,87382200,4214140,4387299,3799683,1951449,4250102,4177376,4109605,3970658,4048997
2507,Cousance,87718270,17535,14606,10231,5889,7077,4819,5637,5743,6757
2508,Cramoisy,87313544,3601,3434,2135,1531,2906,4447,3834,3935,2273
2509,Cravant - Bazarnes,87683649,14732,15063,8775,5318,8539,7305,8550,7629,12819
2510,Croix Sainte,87753491,4870,5138,3332,1310,3310,3693,5115,4388,3970
2511,Cros de Cagnes,87756338,286437,240535,189625,137254,221457,173172,179215,148277,143461
2512,Crouy-sur-Ourcq,87116640,219181,176703,167305,88925,204707,199897,198756,196972,190715
2513,Crépy-en-Valois,87271593,1641932,1613556,1412354,1064830,1760549,1683624,2123053,1784694,1570943
2514,Cuinchy,87342410,37588,34787,28381,28144,47390,44635,47566,46774,47637
2515,Culmont - Chalindrey,87142125,82318,73190,49367,35598,60945,64635,78547,76315,100673
2516,Dachstein,87214551,113800,117623,80022,67074,106254,88930,80157,69926,69998
2517,Damblain,87142497,8,270,186,41,261,406,601,581,579
2518,Dammartin - Juilly - Saint-Mard,87271536,948430,955503,808825,323608,992824,1027727,1002882,939476,876390
2519,Dangé-Saint-Romain,87575126,31152,29629,22872,18885,20056,12949,11270,13323,14147
2520,Denain,87343459,21034,18097,18677,21192,36925,32400,31612,27110,28346
2521,Diarville,87141648,2507,844,586,1373,1911,2234,1745,1284,2125
2522,Dieulouard,87141812,129235,113680,84166,75096,121260,109715,111942,107485,114246
2523,Dijon,87713040,7653382,7081622,4861793,4149069,6350035,5798071,6207518,5901000,6159680
2524,Dol-de-Bretagne,87478073,605945,543868,384796,295448,427379,380495,404127,379307,394141
2525,Dole,87713412,1012445,981528,758029,654765,839249,792855,856029,809789,803036
2526,Domfront-en-Champagne,87396200,6164,6928,5640,4380,11171,13210,13090,13321,12836
2527,Donzère,87764290,40040,30544,19638,16156,27825,20780,23808,19937,20729
2528,Dormans,87171512,150439,130444,103970,95970,129483,112898,110303,107441,112969
2529,Drancy,87271403,8948970,7412637,7692125,3993399,8976601,8782317,8585390,8248559,7883390
2530,Drap - Cantaron,87756775,49152,39518,23847,23792,46557,35806,37112,34709,28312
2531,Dugny - La Courneuve T11,87697342,1298446,1220226,977745,220312,464595,474457,240459,0,0
2532,Ebersviller,87191379,49,111,2109,3283,3285,4915,5546,5552,7297
2533,Enghien-les-Bains,87276022,6996926,7014246,6111149,3316445,7568159,7711048,7760343,7684943,7574604
2534,Erstein,87214148,606226,571464,455881,399673,594561,537172,525509,485869,488510
2535,Esbly,87116327,2046273,1931719,1615645,1069700,2338728,2311341,2296992,2236234,2166527
2536,Esquelbecq,87281113,158634,149425,116349,111606,146409,126270,122084,110199,104612
2537,Eu,87317537,31117,33338,27102,21903,19477,23158,31177,32507,37137
2538,Farschviller,87193524,23096,22573,21785,18309,19952,22125,21467,20970,21087
2539,Faulquemont,87193359,210639,190244,145608,116301,194382,178904,191196,177317,181472
2540,Flaxlanden,87181040,12104,10067,7890,6326,9965,9085,11298,13000,14723
2541,Fleurieux-sur-l'Arbresle,87721563,130034,130705,105568,87204,135482,121917,115642,93970,86131
2542,Folligny,87447649,9017,6633,4068,2163,4046,8596,12712,12051,15101
2543,Fontaines-d'Ozillac,87491159,0,0,0,0,89,93,82,61,80
2544,Forbach,87193003,346914,330425,271958,204729,347579,327366,369799,340553,365895
2545,Forges d'Abel,87672840,0,0,0,0,14,15,152,18,174
2546,Fors,87485326,32339,30274,30792,27613,28194,31508,32571,29733,28785
2547,Fougeray - Langon,87471201,26313,21801,13835,12307,16822,13342,9697,10415,12838
2548,Franchet d'Esperey,87417444,156995,123709,80161,70769,73054,53799,46450,42094,45306
2549,Francheville,87722702,81324,88685,74017,57723,79040,72127,73019,62738,58285
2550,Frasne,87715136,259678,256586,171951,133728,208176,154920,172159,167460,166428
2551,Freinville Sevran,87113894,2053438,1929737,1546264,1905264,1191070,1194722,1192432,1168850,1144456
2552,Frontenex,87741629,37921,32224,24845,17745,33797,24340,30272,31855,30446
2553,Fréjus - Saint-Raphael Autotrain,87757518,0,0,1,30,7,32,51,95,4175
2554,Fréteval - Morée,87574533,5804,4261,3856,2479,3872,3447,3635,4175,3792
2555,Fère-en-Tardenois,87171371,162,0,77,309,1578,2558,4762,8619,12074
2556,Fépin,87172874,5739,4670,4478,4484,3555,4150,5477,7131,7440
2557,Gallieni Cancéropôle,87497461,64835,53873,39986,35229,56259,57969,61229,53400,54091
2558,Galuzot,87694638,5835,12675,12780,10972,7575,3822,2353,2092,2607
2559,Garches - Marnes-la-Coquette,87382259,1892786,1962296,1708430,932660,1891700,1835968,1791195,1713919,1797137
2560,Gauriaguet,87491225,70044,60009,46806,39013,41321,31528,31982,25723,24319
2561,Gazinet Cestas,87582403,413667,391615,308853,242484,367353,322331,313616,289099,302291
2562,Genlis,87713313,308609,309879,215996,212774,243273,220044,239377,227823,233853
2563,Gertwiller,87214254,32632,31548,27928,22647,26369,24238,25665,24846,25690
2564,Gilly-sur-Loire,87694869,6564,5989,4166,3469,3741,2677,4186,5764,6047
2565,Givors,87722405,911030,867946,644269,511609,820979,790672,883281,813588,817714
2566,Gonfaron,87755397,33585,34170,25694,17023,26393,21017,20367,20036,18252
2567,Goussainville,87276246,4590519,4313975,2004993,2643838,5227952,5196033,5171933,5045910,4912463
2568,Grandvilliers,87313734,88243,82200,64382,50401,43744,45726,51804,54952,56726
2569,Granville,87447680,383021,346517,238620,183469,263943,209162,216105,212199,197782
2570,Grasse,87757724,472884,374990,267345,167249,340736,260180,101176,276380,300028
2571,Grenoble Universités - Gières,87747402,778848,754594,549072,441245,715477,618398,669715,599039,606585
2572,Gresswiller,87214593,160762,166115,134392,127933,169033,151955,155246,150002,142270
2573,Grigny Centre,87681379,6550029,6155100,8080635,3822746,7451784,7262293,7046881,6723757,6395274
2574,Grigny le Sablon,87722298,126070,117683,91360,70641,92875,71224,71350,61896,60721
2575,Gros Noyer Saint-Prix,87276592,1649369,1634111,1480690,767868,1720304,1747157,1739184,1713626,1680959
2576,Groslay,87276360,1501362,1461451,1315983,537702,1583612,1612611,1621062,1599215,1569486
2577,Guignicourt,87171736,166350,158004,130612,120804,120287,122047,137618,131831,126347
2578,Gujan-Mestras,87582619,456628,438839,355451,282948,423550,370600,386863,358233,372350
2579,Guérard - La Celle-sur-Morin,87116269,85124,72793,100298,52298,88140,84271,81222,76508,71847
2580,Générac,87775791,1622,1730,1016,580,801,357,434,218,354
2581,Hachette,87297523,184,26,18,11,8,2,5,5,6
2582,Haluchère Batignolles,87590331,125764,107739,80210,68259,116440,97512,92615,94348,88181
2583,Hasenrain,87181024,0,0,0,0,0,0,566,395,378
2584,Hautmont,87295568,55845,54912,41907,43155,83504,77176,79194,68744,72206
2585,Hayange,87191239,5227,5315,6094,5225,8356,7423,9871,17611,28498
2586,Heilles - Mouchy,87316398,5133,5848,4682,2963,2001,3433,4160,4285,3568
2587,Herbitzheim,87193672,42463,40427,45283,57339,48572,49621,56582,57424,56514
2588,Hesdin,87317222,57469,45253,24016,4175,6425,6792,36154,54288,62376
2589,Hundling,87193540,13909,17112,25896,36599,38274,34386,34555,35070,37398
2590,Huriel,87641217,506,34,15,6,26,24,112,150,120
2591,Hyères,87755629,677310,650137,532708,340343,495096,454827,500037,397577,231025
2592,Hénin-Beaumont,87345157,527729,495756,382345,340543,550540,516610,525421,489436,496665
2593,Igny,87393561,399376,375513,231674,175992,454785,462240,474176,475809,475777
2594,Illiers-Combray,87394437,228807,301838,215178,152054,166364,153755,148320,143108,146785
2595,Ingersheim - Cité Scolaire,87303875,9424,7020,11943,18930,19495,20227,26196,29867,31209
2596,Ingrandes-Le Fresne-sur-Loire,87484360,96386,78515,55226,37354,60098,56089,62191,66843,69883
2597,Ingwiller,87213785,260436,248572,196339,158851,206320,223733,229656,223643,223294
2598,Irigny Yvours,87722249,47037,41898,26690,24067,16431,2,0,0,0
2599,Isles - Armentières - Congis,87116616,97916,85504,98675,53243,103553,103680,103988,102504,100521
2600,Issoudun,87597062,210981,197012,143177,120150,180515,163340,175512,169093,169757
2601,Iteuil,87577403,18291,14456,10316,7509,10228,8885,8493,9533,9591
2602,Itxassou,87673665,3996,2006,0,10,255,135,75,39,21
2603,Jacques Monod la Demi-Lieue,87413716,7975,7077,7089,4865,7934,5428,8120,8253,10051
2604,Jeumont,87295014,76439,72986,62954,62713,92964,73200,72038,69142,75639
2605,Joigny-sur-Meuse,87172031,13652,11957,15196,13973,14007,14796,16490,19924,21861
2606,Jouy-en-Josas,87393512,726829,683855,542195,308399,829498,833186,844660,840393,829490
2607,Joué-lès-Tours,87571885,62174,60999,44320,40648,59792,54472,58228,59882,64733
2608,Kalhausen,87193664,14170,14724,11747,7484,10784,12902,12170,12860,13738
2609,Kerhostin,87476432,3660,2919,2121,1838,1782,1411,1572,1257,1551
2610,Kuntzig,87191312,1995,1355,999,1135,929,622,561,1398,1865
2611,Kurtzenhouse,87213660,106934,94909,80030,66860,101037,94148,97670,96678,103240
2612,Kédange,87191346,5604,4150,2902,2221,4238,3893,3961,4842,6435
2613,L'Abbaye,87113886,1000007,939766,753017,1018355,856326,869325,878787,872604,865256
2614,L'Aigle,87444638,212798,191084,132125,99820,150610,134750,138322,136643,126755
2615,L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,87765479,170575,171167,129368,90311,153294,140170,167058,158846,165896
2616,La Barre Ormesson,87271171,2949331,2886266,2624736,1355505,2958201,2929551,2884526,2938751,2978869
2617,La Baule-Escoublac,87481754,570861,538604,433276,312631,468461,430546,456863,428078,401904
2618,La Celle-Saint-Cloud,87382432,2056048,2183744,1923942,761361,2090228,2080360,2077227,2036429,2006487
2619,La Chapelle-Saint-Mesmin,87543371,10561,11192,6870,5215,12272,8556,8066,7211,6525
2620,La Charité-sur-Loire,87696195,173644,193780,145243,124811,134915,134967,154522,151087,158355
2621,La Chaumusse - Fort-du-Plasne,87715391,1344,1843,2335,1747,845,1863,3669,3918,3331
2622,La Coquille,87592501,18053,17333,15210,10395,16363,17110,20906,20871,20926
2623,La Croix de Méan,87481689,8675,5910,4428,2737,3399,1643,1996,2802,3800
2624,La Douzillère,87009696,6573,9903,9147,7664,10886,11104,11507,13502,17749
2625,La Ferté-Bernard,87396325,276215,270677,204225,152391,288558,286134,322483,329562,354288
2626,La Forest-Landerneau,87474221,71398,72201,69784,70874,73450,70970,72161,65538,61896
2627,La Garenne-Colombes,87386003,4502515,4891934,3919745,1963825,4101287,4106443,4128855,4073202,3995177
2628,La Grande-Paroisse,87682476,89343,54790,40100,32594,66342,66702,65992,64845,63652
2629,La Guierche,87396036,23550,17497,11597,10322,25208,30191,32061,32008,30243
2630,La Marche,87691394,1422,2320,2697,2403,1283,413,114,114,505
2631,La Meyze,87592808,2651,2493,2251,1776,2759,2753,2819,2226,2861
2632,La Ménitré,87487884,165402,145963,100295,77182,134163,133806,142655,135524,130655
2633,La Rivière de Mansac,87594416,13144,4610,1715,66,263,177,339,228,89
2634,La Roche-sur-Yon,87486019,1178900,1107111,794116,571734,882383,847396,900931,874411,905764
2635,La Réole,87582866,293048,268412,210974,149559,216950,195791,205696,196201,197320
2636,La Seyne - Six-Fours,87755264,355848,348603,289577,209148,320849,293355,325938,296391,279740
2637,La Suze-sur-Sarthe,87396366,129267,113281,82318,61010,125553,134033,148530,152272,151550
2638,Labruguière,87615526,8444,8165,6922,4084,7055,5795,7676,7179,8753
2639,Lacourtensourt,87611434,74918,64625,46036,34168,42915,30550,30941,29161,32813
2640,Laissac,87783761,146,52,80,504,1477,1688,2033,1588,1612
2641,Lamarche,87144303,1998,776,352,456,505,242,530,1020,1019
2642,Lamothe-Landerron,87582882,2115,1601,2647,2176,2617,2429,2823,3331,3541
2643,Lamothe-Montravel,87584151,10450,9465,7936,4349,2920,3147,5069,6315,6628
2644,Lancerf,87473850,908,964,539,367,446,358,134,325,339
2645,Langeac,87734319,36297,26287,21742,15948,25507,20721,26246,22834,23675
2646,Langogne,87734350,47247,35739,25922,20007,28294,25211,30735,29672,26222
2647,Lannemezan,87671123,136318,109660,82322,53489,67169,73290,95005,91450,105410
2648,Lannion,87473223,303522,299750,226935,157795,222479,192072,191738,175940,170323
2649,Lantenay,87712323,18750,17267,10431,11780,13643,13520,14142,13492,14812
2650,Lathus-Saint-Rémy,87575498,3107,1013,723,579,822,537,611,799,1099
2651,Lavaufranche,87597740,988,936,408,251,518,421,394,294,301
2652,Lavaur,87615476,157960,149312,123472,98271,137284,121098,149360,138951,154669
2653,Lavaveix-les-Mines,87597781,303,53,41,23,93,92,198,404,1094
2654,Lavoûte-sur-Loire,87734707,13413,12993,12389,8303,8833,7061,6330,9611,9780
2655,Le Blanc-Mesnil,87271478,4520132,3347231,3044176,2040928,4052899,4006261,3953284,3823291,3698307
2656,Le Bourget,87271395,21492495,18333290,16873408,10732512,17945579,17369533,15532109,13441953,12609210
2657,Le Bras de Fer,87681395,2582080,2426400,2262218,1349141,2937587,2961835,2997353,2976043,2937923
2658,Le Cailar,87775825,13155,8480,6140,3148,1551,833,467,598,234
2659,Le Chambon-Feugerolles,87726711,30550,30742,24405,16223,34013,28741,32783,27640,33520
2660,Le Coteau,87726828,100209,95659,76485,53349,84195,77133,94117,97436,111711
2661,Le Creusot,87694000,113018,156503,114819,99609,137249,120327,122029,110612,112815
2662,Le Creusot - Montceau-les-Mines - Montchanin TGV,87694109,689875,653544,500230,393139,691000,688741,732662,723396,750269
2663,Le Dorat,87592543,19952,19239,16282,14433,19196,17164,21886,25037,26369
2664,Le Fauga,87611046,97105,73986,61949,47824,51144,52728,62201,53867,57731
2665,Le Grand Jardin,87444323,8730,8324,12044,15895,29111,27263,30546,23684,23324
2666,Le Grau-du-Roi,87775866,175776,136622,107133,127601,59262,53899,57017,49797,59445
2667,Le Monastier-Pin-Moriès,87783308,822,458,76,235,94,329,324,357,531
2668,Le Poirier Université,87343210,84969,84268,68628,74327,176451,158245,155320,134365,146596
2669,Le Pont-de-Beauvoisin,87741470,196065,166219,101027,89022,143917,165824,205169,183423,208662
2670,Le Péage-de-Roussillon,87722678,958912,925830,699527,578999,865926,799488,837606,786001,792485
2671,Le Pénity,87473553,8735,6674,4820,3235,2752,3098,3028,2742,2809
2672,Le Soler,87784512,5860,3870,2655,1320,17,767,2317,2229,3056
2673,Le Toec,87353573,7134,5100,4022,5366,5295,3553,3025,3435,3717
2674,Le Trayas,87757575,14088,12545,10088,6186,7145,3821,4583,5471,6564
2675,Le Vert de Maisons,87681247,2691715,2529584,2027532,969205,3062538,3158156,3254355,3293224,3318507
2676,Les Bardys,87592048,7754,4902,3105,929,1653,4371,5833,4974,5023
2677,Les Cauquillous,87328021,20249,15587,8695,7693,13579,9895,14838,15190,16376
2678,Les Coquetiers,87113845,1257508,1181755,946919,1618216,1049625,1064397,1072490,1063744,1050903
2679,Les Deux Jumeaux,87677104,51946,40965,38983,23722,32774,21101,24654,21850,22642
2680,Les Grésillons,87272146,2420587,2274636,1536083,1229850,2754273,2688760,2643726,2550407,2446842
2681,Les Lacs,87471516,22496,19437,15451,13488,16383,14661,14078,12276,13065
2682,Les Martres-de-Veyre,87734178,177337,162477,132723,127362,151831,147413,164243,165126,167838
2683,Les Mureaux,87386680,4883031,4588884,3678520,1739778,4212499,4169211,4152039,4054618,3943190
2684,Les Noues,87276238,1282751,1205683,1272141,773295,1461270,1539584,1618916,1674500,1724995
2685,Les Pavillons-sous-Bois,87113852,2127054,1998918,1601698,2488926,1701182,1683059,1673494,1629471,1580346
2686,Les Portes de Saint-Cyr,87710921,53359,25258,0,0,0,0,0,0,0
2687,Les Praz de Chamonix,87746826,6690,7797,5194,4392,5418,6842,6363,5002,5497
2688,Les Ramassiers,87353581,15521,12704,10919,10162,9323,6410,6006,9779,12025
2689,Les Sables Blancs,87476267,928,617,690,335,364,225,173,230,207
2690,Les Salelles,87783514,32,33,11,17,18,1,2,0,1
2691,Les Yvris Noisy-le-Grand,87113803,803757,755412,592431,423167,933786,926641,929718,912202,889783
2692,Lesparre-Médoc,87581314,128930,127687,106889,74228,107129,86740,81733,64273,70651
2693,Lesseux - Frapelle,87144329,0,0,0,0,0,3,37,389,344
2694,Lezoux,87734442,88586,84425,62499,58553,85008,74855,80947,82637,85063
2695,Liart,87172544,0,331,288,203,274,24,10,7,22
2696,Lille Europe,87223263,6721133,6056899,4337868,3303176,7754675,7696028,8314520,7780562,7846574
2697,Limeyrat,87595553,2,0,0,542,1221,58,283,935,674
2698,Limoux Flassian,87598755,9719,8990,7261,4693,3796,1621,2020,2040,4224
2699,Longroy - Gamaches,87313817,5271,5408,3056,948,744,1346,2093,2731,3376
2700,Longuerue - Vieux-Manoir,87411447,17196,11774,8076,7437,11158,11120,9873,11893,13770
2701,Longuyon,87194274,56171,62734,59800,38069,56106,45700,53746,54140,73542
2702,Longwy,87194001,573680,468004,320062,309513,552768,540474,564920,524023,506845
2703,Loos-en-Gohelle,87345033,4593,5685,5819,7080,18290,13253,13300,10081,9863
